SampleID,testID,ParticleTypeDefinitionID,ParticleSubTypeCategoryID,Value
52118,180,11,7,1
52118,180,11,8,8
52118,180,16,1,1
52118,180,16,2,1
52118,180,16,3,1
52118,180,16,4,1
52118,180,16,5,5
52118,180,16,6,1
52118,180,16,7,7
52118,180,16,8,8
52305,240,3,1,1
52305,240,3,2,1
52305,240,3,5,2
52305,240,3,6,2
52305,240,3,7,2
52305,240,3,8,1
52305,240,5,1,1
52305,240,5,2,1
52305,240,5,3,1
52305,240,5,4,1
52305,240,5,5,3
52305,240,5,6,4
52305,240,5,7,1
52305,240,5,8,1
52305,240,9,1,1
52305,240,9,2,1
52305,240,9,3,1
52305,240,9,4,1
52305,240,9,5,1
52305,240,9,6,2
52305,240,9,7,2
52305,240,9,8,1
52305,240,10,1,2
52305,240,10,2,1
52305,240,10,3,3
52305,240,10,4,1
52305,240,10,5,2
52305,240,10,6,1
52305,240,10,7,2
52305,240,10,8,1
52305,240,11,1,1
52305,240,11,2,1
52305,240,11,3,1
52305,240,11,4,1
52305,240,11,5,1
52305,240,11,6,4
52305,240,11,7,1
52305,240,11,8,3
52305,240,16,1,1
52305,240,16,2,1
52305,240,16,3,1
52305,240,16,4,1
52305,240,16,5,3
52305,240,16,6,8
52305,240,16,7,7
52305,240,16,8,8
52337,240,4,1,2
52337,240,4,2,1
52337,240,4,3,2
52337,240,4,4,1
52337,240,4,5,2
52337,240,4,6,2
52337,240,4,7,2
52337,240,4,8,1
52337,240,10,1,4
52337,240,10,2,1
52337,240,10,3,4
52337,240,10,4,1
52337,240,10,5,2
52337,240,10,6,1
52337,240,10,7,2
52337,240,10,8,1
52337,240,11,1,1
52337,240,11,2,1
52337,240,11,3,1
52337,240,11,4,1
52337,240,11,5,2
52337,240,11,6,4
52337,240,11,7,1
52337,240,11,8,3
52332,240,4,1,1
52332,240,4,2,1
52332,240,4,3,1
52332,240,4,4,1
52332,240,4,5,2
52332,240,4,6,2
52332,240,4,7,2
52332,240,4,8,1
52332,240,10,1,1
52332,240,10,2,1
