ID,testID,narrative,major,minor,trace
36895,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,22,165
36962,180,"  ",20,28,21
36964,240,"TRACE METALLICS LAMINAR AND CUTTING PARTICLES. ",39,36,32
36977,180,"  ",20,22,28
37029,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,26,24
37030,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,26,25
37032,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,24
37035,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,24
37036,180,"NO UNUSUAL CONTAMINANTS DETECTED   ",22,165,165
37037,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,165,22
37101,180,"  ",20,22,21
37111,180,"   ",20,28,21
37127,180,"  ",20,22,21
37151,180,"  ",20,165,21
37175,180,"  ",20,28,21
37180,240,"SAND/DIRT PARTICLES AND MOLY ALSO PRESENT  ",162,36,42
37182,180,"  ",20,28,21
37184,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH  ",39,35,37
37185,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH  ",39,35,37
37186,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH  ",39,43,36
37187,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH  ",39,43,35
37196,240,"SOME EVIDENCE OF POSSIBLE SLIGHT OVERHEATING ",162,36,39
37210,180,"  ",20,22,21
37219,240,"VERY LITTLE DEBRIS WAS DETECTED ON THE FILTER MEDIA. ",33,36,32
37228,180,"  ",20,22,21
37256,180,"  ",20,28,21
37266,180,"  ",20,28,21
37385,180,"  ",20,165,21
37396,180,"  ",20,28,21
37399,180,"  ",20,28,22
37405,180,"  ",20,22,21
37428,180,"  ",20,165,21
37449,180,"  ",22,24,21
37477,180,"  ",20,28,21
37487,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,25,22
37488,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,25,22
37489,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,25,22
37490,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",26,25,22
37491,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",25,26,22
37494,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",25,22,26
37519,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",25,26,22
37520,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",25,26,22
37521,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",25,26,22
37522,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",25,26,22
37523,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",25,26,22
37524,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",22,24,23
37525,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",22,24,23
37526,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",24,22,23
37535,180,"  ",20,22,21
37647,180,"  ",20,22,21
37663,180,"  ",20,22,21
37668,180,"  ",22,24,21
37681,180,"  ",22,24,21
37682,240,"  METALLICS AND LAMINAR PARTICLES WHITE METAL",32,42,35
37698,180,"  ",20,26,21
37710,240,SAMPLE WEIGHT 0.1105 GRAMS,86,32,36
37735,180,"  ",20,22,21
37736,180,"SOME FIBERS DETECTED
  ",25,26,28
37746,180,"FILTER MEDIA DISCOLORED A SLIGHT GREY ",26,23,22
37747,180,"SOME FIBERS DETECTED  ",25,26,28
37748,180,SOME MOLY DETECTED -  FILTER MEDIA DISCOLORED A SLIGHT GREY,25,26,22
37752,180,"A FEW BLACK SPHERES RANGING FROM 5 TO 15 uM IN SIZE. SOME FIBERS DETECTED. ",25,26,28
37754,180,"A FEW BLACK SPHERES RANGING FROM 5 TO 15 uM IN SIZE.  SOME EVIDENCE OF POSSIBLE SLIGHT OVERHEATING.  WEAR PARTICLES APPEARED TO BE COPPER ALLOY AND WHITE METAL AND INCLUDED SLIDING, LAMINAR AND CUTTING PARTICLES.  IMAGE TAKEN  ",24,26,30
37799,180,"  ",20,28,21
37800,180,"  ",20,22,21
37831,180,"  ",20,22,21
37832,240," ",35,38,37
37849,180,"METALLICS MOSTLY LESS THAN 10 uM - A FEW LAMINAR PARTICLES.  ",24,21,28
37850,180,"SOME FIBERS DETECTED - SOME EVIDENCE OF POSSIBLE SLIGHT OVERHEATING  ",25,26,30
37852,180,"SOME EVIDENCE OF POSSIBLE SLIGHT OVERHEATING -  METALLICS BOTH WHITE METAL AND COPPER ALLOY. ",24,21,28
37854,180,"METALLICS BOTH WHITE METAL AND COPPER ALLOY-SOME EVIDENCE OF POSSIBLE OVERHEATING. ",27,21,24
37854,240,"METALLICS BOTH WHITE METAL AND COPPER ALLOY ",36,37,32
37855,180," ",25,26,28
37855,240,"SLIGHT METALLICS DETECTED ",37,36,39
37856,180,"MINOR METALLICS LAMINAR PARTICLES  ",27,21,24
37862,180,NO UNUSUAL CONTAMINANTS DETECTED,24,26,22
37926,240," ",42,43,41
37928,240," ",42,43,41
37931,180,"  ",20,22,21
37940,180,"  ",20,28,21
37950,180,"CUTTING WEAR PARTICLES - SOME COARSE SLIDING WEAR PARTICLES   ",20,21,22
37962,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH - METALLICS LAMINAR, SLIDING, CUTTING WEAR PARTICLES - SOME EVIDENCE OF POSSIBLE OVERHEATING.",36,39,32
37964,120,"FILTER INTERNALS EXAMINATION DID NOT INDICATE THE PRESENCE OF VARNISH. ",36,39,32
37975,240," ",35,34,32
37976,180,"  ",20,22,21
37978,240," ",35,34,32
37986,180,"  ",20,22,21
37996,180,"  ",20,28,21
38018,180,"NO UNUSUAL CONTAMINANTS DETECTED  ",22,25,26
38044,180,"  ",20,22,21
38047,240,"WEAR PARTICLES CONSISTING OF SLIDING WEAR AND CUTTING WEAR AND LAMINARS - SOME NON-FERROUS METALS OF COPPER ALLOY  ",162,39,35
38048,240,"WEAR PARTICLES CONSISTING OF SLIDING WEAR AND CUTTING WEAR AND LMINARS - SOME NON-FERROUS METALS OF COPPER ALLOY  ",39,162,36
38073,180,"NO UNUSUAL COMTAMINANTS DETECTED ",22,25,26
38076,180,"  ",20,22,24
38109,180,"  ",20,22,28
38152,180,"  ",20,22,28
38161,180,"  ",20,22,21
38171,180,"  A FEW METALLIC PARTICLES CONSISTING OF WHITE AND COPPER ALLOY - SOME EVIDENCE OF POSSIBLE OVERHEATING - SLIGHT BROWNISH COLOR TO FILTER MEDIA",26,25,22
38172,180,"SEVERAL METALLIC PARTICLES CONSISTING OF WHITE AND COPPER ALLOY - SOME EVIDENCE OF POSSIBLE OVERHEATING - SLIGHT BROWNISH COLOR TO FILTER MEDIA ",26,25,22
38173,180,"SLIGHT BROWNISH COLOR TO FILTER MEDIA  ",26,22,25
38193,180,"  ",20,22,21
38236,180,"  ",20,22,28
38279,180,"  ",20,165,21
38281,180,"  ",20,165,21
38343,180,"  ",20,22,21
38346,180,"  ",20,22,24
24584,180," ",36,37,33
24588,180," ",35,33,58
24593,180," ",33,35,37
24598,180," ",33,35,37
24599,180," ",33,58,58
24766,180,ONE 300 uM CUTTING WEAR PARTICLE,31,32,58
24796,240," ",86,32,33
