ID,group_name,valueat,tagNumber,component,location,exclude,excluded_on,fname
514,"MT SMC-04 LS                            ",41,1JMTNHV0259,099,040,NULL,NULL,
515,"MT SMC-04 LS                            ",41,1JMTNHV0260,099,040,NULL,NULL,
516,"MT SMC-04 LS                            ",41,1JMTNHV0315,099,040,NULL,NULL,
970,"V - SMB-00 Pinion hot                   ",52,1JSGNHV1144,002,066,NULL,NULL,
518,"MT SMC-04 LS                            ",41,1JMTNHV0321,099,040,NULL,NULL,
519,"MT SMC-04 LS                            ",41,1JMTNHV0322,099,040,NULL,NULL,
520,"MT SMC-04 LS                            ",41,1JMTNHV0327A,099,040,NULL,NULL,
521,"MT SMC-04 LS                            ",41,1JMTNHV0327B,099,040,NULL,NULL,
522,"MT SMC-04 LS                            ",41,1JMTNHV0327C,099,040,NULL,NULL,
523,"MT SMC-04 LS                            ",41,1JMTNHV0327D,099,040,NULL,NULL,
524,"MT SMC-04 LS                            ",41,1JMTNHV0327E,099,040,NULL,NULL,
525,"MT SMC-04 LS                            ",41,1JMTNHV0327F,099,040,NULL,NULL,
526,"MT SMC-04 LS                            ",41,1JMTNHV0327G,099,040,NULL,NULL,
527,"MT SMC-04 LS                            ",41,1JMTNHV0327H,099,040,NULL,NULL,
971,"V - SMB-00 Pinion hot                   ",52,1JSGNHV1145,002,066,NULL,NULL,
981,"V - SMB-00 LS hot                       ",53,2JSGNHV1143,099,040,NULL,NULL,
4356,"V - SMC-04 pinion 8910                  ",105,1JLRNHV0273,002,066,NULL,NULL,NULL
1292,"V - 11NAZ1/ (86&21) - Gear              ",63,2JWCNHV0060,097,040,NULL,NULL,NULL
532,"MT SMC-04 LS                            ",41,1JMTNHV0374,099,040,NULL,NULL,
987,"V - SMB-00 Gear 8910 mild               ",54,1JAFBHV0030,097,040,NULL,NULL,
534,"MT SMC-04 LS                            ",41,1JMTNHV0376,099,040,NULL,NULL,
535,"MT SMC-04 LS                            ",41,1JMTNHV0377,099,040,NULL,NULL,
