ID,testID,Na,Mo,Mg,P,B,H,Cr,Ca,Ni,Ag,Cu,Sn,Al,Mn,Pb,Fe,Si,Ba,Sb,Zn,trialDate,trialNum
10601,30,0,0,0,5,0,16325,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1998-09-16 00:00:00.000,1
10602,30,8,1,1,340,1,13950,0,7,0,0,0,2,1,0,2,6,12,1,29,47,1998-09-16 00:00:00.000,1
84,30,1,0,1,0,0,11673,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1993-10-04 00:00:00.000,1
84,40,1,0,1,0,0,9399,0,3,0,0,0,0,0,0,0,10,7,0,0,1,1993-10-04 00:00:00.000,1
22084,30,4,0,0,4,0,7309,0,1,0,0,0,0,0,0,0,1,2,1,NULL,2,2002-11-01 00:00:00.000,1
21972,30,9543,0,1105,246,0,4795,3,49673,0,0,47,0,45,3,0,69,230,0,NULL,105,2002-11-01 00:00:00.000,1
22108,30,0,0,0,10,0,8111,0,2,0,0,0,0,0,0,1,22,6,0,NULL,1,2002-11-06 00:00:00.000,1
21730,30,0,0,0,11,0,8184,0,2,0,0,1,0,0,0,1,35,5,1,NULL,1,2002-11-06 00:00:00.000,1
22037,30,0,0,0,6,0,8362,0,0,0,0,0,0,0,0,0,0,1,5,NULL,0,2002-11-19 00:00:00.000,1
22087,30,0,0,0,2,0,8368,0,1,0,0,0,0,0,0,0,0,4,0,NULL,3,2002-11-19 00:00:00.000,1
22144,30,0,0,0,4,0,8424,0,0,0,0,0,0,0,0,0,1,10,0,NULL,1,2002-11-19 00:00:00.000,1
22146,30,0,0,0,0,0,8290,0,1,0,0,0,0,0,0,0,2,4,0,NULL,1,2002-11-19 00:00:00.000,1
22157,30,0,0,0,1,0,8077,0,1,0,0,1,0,0,0,9,1,4,0,NULL,1,2002-11-19 00:00:00.000,1
22159,30,48,1,28,1248,15,7527,0,2539,1,0,1,0,1,1,2,2,6,52,NULL,1631,2002-11-19 00:00:00.000,1
22128,30,17533,0,2564,85,2,5161,6,58974,3,0,283,0,148,9,94,358,437,0,NULL,132,2002-11-19 00:00:00.000,1
22129,30,5415,0,1115,88,1,4783,0,41876,0,0,259,0,68,3,10,220,334,0,NULL,103,2002-11-19 00:00:00.000,1
22130,30,5435,9,962,354,4,5313,4,2380,7,0,463,19,2866,11,1321,2630,6735,0,NULL,171,2002-11-19 00:00:00.000,1
22101,40,2,2,6,17,3,4962,13,52,0,0,6,0,0,0,0,16,3,0,NULL,40,2002-11-19 00:00:00.000,1
22176,30,7,72,197,1166,97,8264,2,1733,1,0,5,0,1,1,5,8,6,3,NULL,1172,2002-11-20 00:00:00.000,1
22248,30,1,0,0,2,0,8054,0,0,0,0,2,0,0,0,0,0,3,0,NULL,1,2002-11-27 00:00:00.000,1
22261,30,1,0,0,2,0,8360,0,0,0,0,0,0,0,0,0,0,1,4,NULL,1,2002-12-04 00:00:00.000,1
22262,30,0,0,0,0,0,8247,0,0,0,0,0,1,0,0,0,2,1,0,NULL,1,2002-12-04 00:00:00.000,1
22304,30,5,82,141,1092,99,7989,8,1832,1,0,6,0,1,1,5,13,9,2,NULL,1253,2002-12-06 00:00:00.000,1
